agreement_code,agreement_name,agreement_type,partner_entity,entity_type,country,start_date,end_date,auto_renew,owner_entity,status,admin_status,notes_vppd,submitted_by,submitted_at,source_record_id,agreement_summary,focus_area,agreement_signing_link,city,partner_website,partner_logo_link,students_exchanged,faculty_exchanged,joint_programs,sdgs,supports_qs_ranking,supports_ui_greenmetric,latitude,longitude,supports_qs,supports_greenmetric
UOB-AGR-275,MOU - United Arab Emirates University,Memorandum of Understanding / MOU,United Arab Emirates University,International University / Public Research University,United Arab Emirates,2023-11-22,2028-11-21,لا,College of Business Administration,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,275,"MOU between the University of Bahrain and United Arab Emirates University to facilitate joint collaboration and cooperation in areas of shared interest. Key provisions include strengthening cooperation and regional understanding between Bahrain and the United Arab Emirates, offering academic programmes, research and faculty development, research and scientific publishing, joint programmes and collaboration, exchange of faculty and students, regular meetings to identify timeframes and areas of cooperation, and identification of potential projects, activities and initiatives.",Academic Collaboration; Research and Scientific Publishing; Joint Programmes; Faculty Development; Faculty and Student Exchange; Regional Cooperation,https://www.uob.edu.bh/42639/,Al Ain,https://www.uaeu.ac.ae/en/,https://www.uaeu.ac.ae/en/vc/uod/brand/index.shtml,Exchange of students mentioned; no number specified,Exchange of faculty and students; faculty development mentioned; no number specified,Joint programmes and collaboration mentioned; no specific programme or number stated,"SDG 4, SDG 9, SDG 17",Yes,No / Not directly,24.1978467,55.6760008,نعم,لا
UOB-AGR-277,Framework for Cooperation in Cybersecurity between University of Bahrain and the National Cyber Security Center,Cooperation Framework / إطار عمل,National Cyber Security Center (NCSC),Government Entity / National Cybersecurity Authority,Bahrain,2023-12-06,2026-12-05,لا,College of Information Technology,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,277,"Framework for cooperation between the University of Bahrain and the National Cyber Security Center to enhance collaboration in cybersecurity. Key provisions include establishing and launching cybersecurity awareness programmes; organizing events, seminars, training programmes and workshops for students; preparing specialized and advanced programmes to qualify national cadres in cybersecurity; providing specialized training courses for UoB faculty members in information security, information systems, information technology and cybersecurity; establishing partnerships between academic institutions and cybersecurity entities to provide practical experience for graduates; and enhancing joint scientific research, publications and studies aligned with national objectives.",Cybersecurity; Awareness Programmes; Student Training; Faculty Development; National Capacity Building; Scientific Research; Academic-Industry-Government Partnerships,https://www.uob.edu.bh/%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A-%D9%84%D9%84%D8%A3%D9%85%D9%86-%D8%A7%D9%84%D8%B3%D9%8A%D8%A8%D8%B1%D8%A7%D9%86%D9%8A-%D9%88%D8%AC%D8%A7%D9%85%D8%B9%D8%A9/?lang=ar,"Al Juffair, Manama",https://www.ncsc.gov.bh/,https://www.ncsc.gov.bh/,Training programmes and workshops for students mentioned; no number specified,Specialized training courses for UoB faculty members mentioned; no number specified,Joint scientific research and academic partnerships mentioned; no joint degree programme specified,"SDG 4, SDG 9, SDG 16, SDG 17",Yes,No / Not directly,26.219300,50.604600,نعم,لا
UOB-AGR-278,MOU - Arab Open University,Memorandum of Understanding / MOU,Arab Open University - Bahrain,Higher Education Institution / Regional Open University,Bahrain,2023-12-28,2028-12-27,لا,Vice President for Academic Programs and Graduate Studies,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,278,"MOU between the University of Bahrain and the Arab Open University - Bahrain to support cooperation in academic fields, scientific research and training. Key provisions include exchange of academic expertise through faculty exchange; exchange of external examiners for programme evaluation; training, professional development, workshops and courses for academic and administrative staff; joint scientific research projects; organisation of international and local conferences and seminars; support for student activities through cooperation between student affairs deanships; competitions and student events; and cooperation between student clubs.",Academic Cooperation; Research Collaboration; Training and Professional Development; Faculty Exchange; External Examiners; Student Activities,https://www.uob.edu.bh/the-university-of-bahrain-and-the-arab-open-university-sign-a-memorandum-of-cooperation-in-academic-fields-exchanging-experiences-and-promoting-scientific-research/,A'ali,https://www.aou.org.bh/,https://www.aou.org.bh/,"Student activities, competitions and events mentioned; no student exchange or number specified",Exchange of faculty members and training/development for academic and administrative staff mentioned; no number specified,"Not specified as joint degree programmes; cooperation in training, research, external evaluation and student activities mentioned","SDG 4, SDG 9, SDG 17",Yes,No / Not directly,26.155866,50.528493,نعم,لا
UOB-AGR-279,"MOU - Halal Science Center, Chulalongkorn University of Thailand",Memorandum of Understanding / MOU,"The Halal Science Center, Chulalongkorn University of Thailand",University Research Center / Halal Science Center,Thailand,2024-01-04,2026-01-03,لا,Vice President for Academic Programs and Graduate Studies,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,279,"MOU between the University of Bahrain and the Halal Science Center, Chulalongkorn University of Thailand for academic cooperation and exchange. Key provisions include exchange of research and scientific materials, publications and information; organization of joint academic activities such as conferences and seminars; joint research programmes; exchange of students/staff and research scholars; implementation of exchange activities through separate negotiation; confidentiality; intellectual property arrangements; and renewal/termination terms.",Academic Cooperation; Halal Science; Research Collaboration; Scientific Exchange; Joint Academic Activities; Student and Staff Exchange,https://www.uob.edu.bh/39958/,Bangkok,https://www.halalscience.org/en/home-english/,https://www.halalscience.org/en/home-english/,Exchange of students/staff mentioned; no number specified,Exchange of students/staff and research scholars mentioned; no number specified,Joint academic activities and joint research programmes mentioned; no joint degree programme specified,"SDG 4, SDG 9, SDG 12, SDG 17",Yes,No / Not directly,13.73836,100.5321,نعم,لا
UOB-AGR-280,MOU - Secretariat General of the Gulf Cooperation Council,Memorandum of Understanding / MOU,Secretariat General of the Gulf Cooperation Council (GCC),Regional Intergovernmental Organization / Secretariat General,Saudi Arabia,2024-01-30,2029-01-29,لا,Not specified,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,280,"MOU between the Secretariat General of the Gulf Cooperation Council and the University of Bahrain to enhance joint cooperation in education, training, studies, research and scientific/knowledge exchange. Key provisions include exchanging research and studies; receiving each party’s staff for study, research and training; exchanging trainers, experts and specialists for lectures and training; cooperating in conferences, seminars, lectures and joint workshops; inviting representatives to events; exchanging research, studies, publications and bulletins; and creating an appropriate scientific environment to promote publications and cooperation in peer-reviewed scientific research.",Education and Training; Studies and Research; Scientific Cooperation; Knowledge Exchange; GCC Regional Cooperation; Conferences and Workshops,https://www.uob.edu.bh/40140/,Riyadh,https://www.gcc-sg.org/en/Pages/default.aspx,https://gcc41.org/downloads,Not specified,"Reception/exchange of trainers, experts, specialists and staff mentioned; no number specified","Not specified as joint degree programmes; joint research, conferences, seminars, lectures and workshops mentioned","SDG 4, SDG 9, SDG 16, SDG 17",Yes,No / Not directly,24.7136,46.6753,نعم,لا
UOB-AGR-281,MOU - Arabian Gulf University,Memorandum of Understanding / MOU,Arabian Gulf University,Regional University / Higher Education Institution,Bahrain,2024-02-26,2028-02-25,لا,Deanship of Graduate Studies & Scientific Research,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,281,MOU between Arabian Gulf University and the University of Bahrain to publish UoB master’s and doctoral theses on AGUsoft and enhance the dissemination of GCC university research outputs. Key provisions include publishing UoB postgraduate theses on the AGUsoft platform; providing technical services to prepare theses in searchable electronic form; creating a databank with thesis fields and keywords; enabling access to abstracts and full-text downloads; linking the platform to relevant academic and research institutions; supporting access to Gulf university research outputs; and enabling future cooperation to promote research ideas and development.,Research Dissemination; Graduate Studies; Thesis Publication; Digital Repository; Knowledge Sharing; GCC Academic Cooperation,https://www.uob.edu.bh/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D9%88%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86-%D8%AA%D9%88/?lang=ar,Manama,https://www.agu.edu.bh/en,https://www.agu.edu.bh/en,Not specified,Not specified,"Not specified as joint degree programmes; cooperation focuses on thesis publication, research dissemination and AGUsoft platform support","SDG 4, SDG 9, SDG 17",Yes,No / Not directly,26.21506,50.57122,نعم,لا
UOB-AGR-282,MOU - Royal University for Women,Memorandum of Understanding / MOU,Royal University for Women,Local University / Higher Education Institution,Bahrain,2024-03-12,2026-03-11,لا,Vice President for Academic Programs and Graduate Studies,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,282,"MOU between the University of Bahrain and the Royal University for Women to support academic cooperation and community partnership. Key provisions include exchanging academic expertise through faculty teaching under part-time arrangements; exchanging external examiners for programme evaluation; cooperation in training and professional development through workshops and training courses for academic and administrative staff; joint scientific research projects; organizing and hosting international conferences and local seminars; and cooperation in student activities, competitions, events and artistic, cultural and sports student clubs.",Academic Cooperation; Faculty Exchange; External Examiners; Training and Professional Development; Research Collaboration; Student Activities,https://www.uob.edu.bh/%D8%AA%D9%82%D8%B6%D9%8A-%D8%A8%D8%AA%D8%A8%D8%A7%D8%AF%D9%84-%D8%A7%D9%84%D8%AE%D8%A8%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%85%D9%85/?lang=ar,West Riffa,https://www.ruw.edu.bh/,https://www.ruw.edu.bh/,Not specified,Faculty exchange/teaching cooperation mentioned; no number specified,"Not specified as joint degree programmes; cooperation includes joint research projects, conferences, seminars and student activities","SDG 4, SDG 5, SDG 9, SDG 17",Yes,No / Not directly,26.1019,50.5512,نعم,لا
UOB-AGR-283,MOU - Lancaster University,Memorandum of Understanding / MOU,Lancaster University,International University / Higher Education Institution,United Kingdom,2024-03-22,2027-03-21,لا,Not specified,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,283,"MOU between the University of Bahrain and Lancaster University to facilitate academic collaboration and cultural co-operation. Key provisions include continued dialogue among staff and students on areas of mutual academic interest; identifying potential research opportunities and initiatives; dissemination of information and experience; exchange of staff, students and researchers for teaching, study and academic research; exchange of academic publications and information; joint research, publications and academic activities; participation in conferences, academic meetings and joint exhibitions; and potential future staff/student exchange or collaborative programmes under separate agreements.",Academic Collaboration; Cultural Cooperation; Research Collaboration; Staff and Student Exchange; Joint Research; Conferences and Academic Meetings,https://www.uob.edu.bh/41435/,Lancaster,https://www.lancaster.ac.uk/,https://www.lancaster.ac.uk/external-relations/marketing-office/brand/visual-identity/logos/,Mentioned; no number specified,Mentioned; no number specified,Potential staff/student exchange or collaborative programmes mentioned; subject to separate agreements,"SDG 4, SDG 9, SDG 17",Yes,No / Not directly,54.0104,-2.7877,نعم,لا
UOB-AGR-284,MOU - Accounting and Auditing Organization for Islamic Financial Institutions (AAOIFI),Memorandum of Understanding / MOU,Accounting and Auditing Organization for Islamic Financial Institutions (AAOIFI),International Standard-Setting Organization / Not-for-Profit Organization,Bahrain,2024-04-28,2027-04-27,لا,College of Business Administration,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,284,"MOU between the University of Bahrain and the Accounting and Auditing Organization for Islamic Financial Institutions (AAOIFI) to support mutual cooperation in Islamic banking and finance. Key provisions include possible UoB institutional membership in AAOIFI; joint seminars, events and workshops; public hearings and awareness activities; considering AAOIFI CIPA and CSAA programmes within BSc and MSc programmes; up to 70% discount on CIPA and CSAA fellowships for UoB faculty, alumni and students of Islamic finance; strengthening UoB Islamic finance offerings based on AAOIFI standards; participation of UoB officials in AAOIFI subcommittees, working groups and technical boards; feedback on AAOIFI exposure drafts through the Sustainable Islamic Business and Finance Research Center; information exchange; and contribution of research papers/technical articles to JOIFA.",Islamic Finance; Accounting and Auditing Standards; Professional Certification; Capacity Building; Standards Development; Research Collaboration,https://www.uob.edu.bh/41494/,"Seef, Manama",https://aaoifi.com/?lang=en,https://aaoifi.com/?lang=en,Students of Islamic finance may receive up to 70% discount on CIPA and CSAA fellowships; no number specified,UoB faculty members may receive up to 70% discount on CIPA and CSAA fellowships and support through standards-development activities; no number specified,Potential inclusion of CIPA and CSAA programmes into BSc and MSc programmes; no joint degree specified,"SDG 4, SDG 8, SDG 16, SDG 17",Yes,No / Not directly,26.235,50.534,نعم,لا
UOB-AGR-285,Agreement - Boston University,Educational Services Agreement,Boston University,International University / Higher Education Institution,United States,2024-05-20,2027-05-19,لا,Mohammed Jaber Al Ansari College for Teachers / Bahrain Teachers College,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,285,"Agreement between the University of Bahrain and the Trustees of Boston University, acting through Boston University Wheelock College of Education and Human Development, to provide educational services through master’s programmes for Bahrain Teachers College students. Key provisions include delivery of the EdM in Educational Leadership & Policy Studies and the EdM in Curriculum & Teaching; programme materials and application processing through BU Wheelock; collaboration with UoB/BTC on approvals, student eligibility and cohort arrangements; programme delivery in English via distance learning; possible visits by BU Wheelock faculty to Bahrain; programme evaluation; and continuation of prior enrolled students and obligations under the agreement.",Educational Services; Teacher Education; Graduate Programmes; Educational Leadership; Curriculum and Teaching; Professional Development; Distance Learning,https://www.uob.edu.bh/39988/,"Boston, Massachusetts",https://www.bu.edu/,https://www.bu.edu/brand/guidelines/logos/,Enrolled by cohorts; no number specified in this agreement,Faculty involvement and visits mentioned; no number specified,EdM in Educational Leadership & Policy Studies; EdM in Curriculum & Teaching,"SDG 4, SDG 17",Yes,No / Not directly,42.350876,-71.106918,نعم,لا
UOB-AGR-286,Framework Agreement - Royal Humanitarian Foundation (RHF),Framework Agreement / إطار عمل,Royal Humanitarian Foundation (RHF),Government / Humanitarian Foundation,Bahrain,2024-05-21,2027-05-20,لا,Not specified,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,286,"Framework agreement between the University of Bahrain and the Royal Humanitarian Foundation to support cooperation in scientific, research and community-service fields. Key provisions include exchanging expertise and support in line with each party's capacities; supporting knowledge dissemination, research and scientific publishing, competitions and awards in humanitarian fields; organizing joint events such as conferences, seminars, lectures and training/workshops; giving priority to registering the Foundation's sponsored children and applicants from needy families at the University of Bahrain according to applicable rules; appointing coordinators from both parties; maintaining confidentiality; and agreeing that any future financial commitments must be separately agreed.",Humanitarian Cooperation; Community Service; Research Collaboration; Knowledge Dissemination; Student Support; Conferences and Training,https://www.uob.edu.bh/42058/,"Seef, Manama",https://www.rhf.gov.bh/,https://www.rhf.gov.bh/,Priority registration for RHF-sponsored children and applicants from needy families mentioned; no number specified,Not specified,"Not specified as joint programmes; cooperation includes research, events, training/workshops and community-service activities","SDG 1, SDG 3, SDG 4, SDG 10, SDG 17",Yes,No / Not directly,26.239,50.536,نعم,لا
UOB-AGR-287,MOU - Bahrain Society of Engineers,Memorandum of Understanding / MOU,Bahrain Society of Engineers,Professional Society / Non-Profit Organization,Bahrain,2024-06-09,2028-06-08,لا,College of Engineering; College of Information Technology,سارية,معتمد,,admin@uob.edu.bh,2026-05-10 17:02:39,287,"MOU between the University of Bahrain and the Bahrain Society of Engineers to enhance cooperation in the engineering field and support the engineering sector in Bahrain. Key provisions include organizing conferences and workshops on mutually agreed topics; seeking sponsorship and financial support for conferences; organizing specialized seminars and lectures involving faculty from the Colleges of Engineering and Information Technology; providing lists of arbitrators, trainers and consultants for scientific events and competitions/exhibitions; using specialists from the Society for teaching engineering and IT expertise when needed; forming joint work teams for specialized studies; exchanging information related to universities, colleges, institutes and engineering societies; announcing joint conferences and workshops through each party’s channels; providing free seats for each party in engineering conferences; promoting society membership for UoB engineering students; dedicating an award for best graduation project; and providing a free booth for the Society in the University career fair.",Engineering Cooperation; Conferences and Workshops; Training and Professional Development; Faculty Expertise; Student Support; Professional Membership; Graduation Projects; Career Fair,https://www.uob.edu.bh/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%D9%86-%D9%88%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D9%86-%D8%A7%D9%84%D8%A8%D8%AD%D8%B1/?lang=ar,"Juffair, Manama",https://bse.bh/en/,https://bse.bh/en/,Student membership promotion and best graduation project award mentioned; no number specified,Faculty participation in seminars/lectures and use of specialists for teaching mentioned; no number specified,"Not specified as joint programmes; cooperation includes conferences, workshops, studies, competitions and professional activities","SDG 4, SDG 8, SDG 9, SDG 17",Yes,No / Not directly,26.218,50.602,نعم,لا
